ekatte,kind,name_bg,name_en,parent_ekatte,parent_name,parent_is_nuts4,area2_ekatte,area2_name,document
91076,2,Курорт „Даулите“,Kurort „Daulite“,67338,Сливен,0,,,2009
94015,1,"Курортен комплекс ""Златни пясъци""","Kurorten kompleks ""Zlatni pyasatsi""",VAR06,Варна,1,,,222
94023,2,ВЕЦ Долна Бешовица на р. Искър,VETS Dolna Beshovitsa na r. Iskar,22023,Долна Бешовица,0,,,243
94037,2,Узунджата,Uzundzhata,58356,Приморско,0,,,257
94040,1,"Курортен комплекс ""Св. св. Константин и Елена""","Kurorten kompleks ""Sv. sv. Konstantin i Elena""",VAR06,Варна,1,,,222
94085,1,"Курортен комплекс ""Международен младежки център - Приморско""","Kurorten kompleks ""Mezhdunaroden mladezhki centar - Primorsko""",BGS27,Приморско,1,,,222
94099,2,Семково,Semkovo,BLG02,Белица,1,,,1931
94112,2,Цигов чарк,Tsigov chark,62004,Ракитово,0,,,254
94126,2,ДЗС,DZS,63427,Русе,0,,,246
94130,2,Стълпище,Stalpishte,47977,Мечка,0,,,247
94143,2,Кария,Karia,83017,Шабла,0,,,294
94157,2,Червенка,Chervenka,81178,Черноморец,0,,,256
94160,2,Гладно поле,Gladno pole,40227,Крушовица,0,,,262
94174,2,"Вилна зона ""Крушов баир""","Vilna zona ""Krushov bair""",37798,Козлодуй,0,,,259
94188,2,Пети километър,Peti kilometar,07079,Бургас,0,,,271
94191,2,Хайдушки поляни,Haydushki polyani,SML31,Смолян,1,,,600
94201,2,Кринчовица,Krinchovitsa,87374,Ямбол,0,,,267
94215,2,Черешево,Chereshevo,PDV39,Кричим,1,,,619
94229,2,Перчемлията,Perchemliyata,VAR06,Варна,1,,,286
94232,2,Долна Трака,Dolna Traka,VAR06,Варна,1,,,286
94246,2,Припек,Pripek,VAR06,Варна,1,,,286
94256,2,Орехчето,Orehcheto,VAR06,Варна,1,,,286
94263,2,Черешова градина,Chereshova gradina,VAR06,Варна,1,,,286
94277,2,Крушова градина,Krushova gradina,VAR06,Варна,1,,,286
94280,2,Панорама,Panorama,VAR06,Варна,1,,,286
94294,2,Балъм дере,Balam dere,VAR06,Варна,1,,,261
94304,2,Ментеше,Menteshe,VAR06,Варна,1,,,261
94318,2,Кочмар,Kochmar,VAR06,Варна,1,,,261
94321,2,Планова,Planova,VAR06,Варна,1,,,261
94335,2,Пчелина,Pchelina,VAR06,Варна,1,,,261
94349,2,Сълзица,Salzitsa,VAR06,Варна,1,,,261
94352,2,Сотира,Sotira,VAR06,Варна,1,,,261
94366,2,Боровец-север,Borovets-sever,VAR06,Варна,1,,,261
94371,2,Боровец-юг,Borovets-yug,VAR06,Варна,1,,,261
94383,2,Ракитника,Rakitnika,VAR06,Варна,1,,,261
94397,2,Прибой,Priboy,VAR06,Варна,1,,,261
94407,2,Зеленика-част,Zelenika_chast,VAR06,Варна,1,,,261
94410,2,Летище,Letishte,VAR06,Варна,1,,,261
94424,2,Под селото,Pod seloto,VAR06,Варна,1,,,261
94438,2,Акчелар,Akchelar,VAR06,Варна,1,,,261
94441,2,Телевизионна кула,Televizionna kula,VAR06,Варна,1,,,261
94455,2,Горна трака,Gorna traka,VAR06,Варна,1,,,261
94469,2,Добрева чешма,Dobreva cheshma,VAR06,Варна,1,,,261
94472,2,Виница-север,Vinitsa-sever,VAR06,Варна,1,,,261
94486,2,Ваялар,Vayalar,VAR06,Варна,1,,,261
94497,2,Траката-разширение,Trakata-razshirenie,VAR06,Варна,1,,,261
94502,2,Фатрико дере,Fatriko dere,VAR06,Варна,1,,,261
94513,2,Дели сава,Deli sava,VAR06,Варна,1,,,261
94527,2,Манастирски рид,Manastirski rid,VAR06,Варна,1,,,261
94530,2,Бялата чешма и Дъбравата,Byalata cheshma i Dabravata,VAR06,Варна,1,,,261
94544,2,Ален мак,Alen mak,VAR06,Варна,1,,,261
94558,2,XI шахта,XI shahta,07079,Бургас,0,,,268
94561,2,Острицата,Ostritsata,07079,Бургас,0,,,1494
94575,2,Сухото дере,Suhoto dere,32425,Изворище,0,,,268
94589,2,Каптажа,Kaptazha,32425,Изворище,0,,,268
94592,2,Лозницата,Loznitsata,07332,Българово,0,,,268
94602,2,Бадемите,Bademite,07079,Бургас,0,,,1883
94616,2,Пръстницата,Prastnitsata,06776,Брястовец,0,,,268
94628,2,Брястите,Bryastite,06776,Брястовец,0,,,268
94633,2,Лозята,Lozyata,06776,Брястовец,0,,,268
94647,2,Батака,Bataka,72151,Твърдица,0,,,268
94650,2,Върбицата,Varbitsata,72151,Твърдица,0,,,268
94664,2,Заслона,Zaslona,21141,Димчево,0,,,268
94678,2,Край канала,Kray kanala,21141,Димчево,0,,,268
94681,2,Черниците,Chernitsite,47202,Маринка,0,,,268
94695,2,Училищното,Uchilishtnoto,47202,Маринка,0,,,268
94705,2,Трите кладенчета,Trite kladencheta,47202,Маринка,0,,,268
94719,2,Инцараки,Intsaraki,11538,Свети Влас,0,,,260
94722,2,Чолакова чешма,Cholakova cheshma,39164,Кошарица,0,,,260
94736,2,Янчева поляна,Yancheva polyana,00182,Аксаково,0,,,266
94743,2,Терасите,Terasite,00182,Аксаково,0,,,266
94753,2,Доброгледски лозя,Dobrogledski lozya,21587,Доброглед,0,,,266
94767,2,Трите воденици,Trite vodenitsi,21988,Долище,0,,,266
94770,2,Студен кладенец,Studen kladenets,53691,Орешак,0,,,266
94784,2,Лозите,Lozite,37099,Кичево,0,,,266
94798,2,Черноморска панорама,Chernomorska panorama,54145,Осеново,0,37099,Кичево,266
94808,2,Поляните,Polyanite,39459,Кранево,0,,,266
94811,2,Панорама I,Panorama I,54145,Осеново,0,,,266
94825,2,Панорама II,Panorama II,54145,Осеново,0,,,266
94839,2,Панорама III,Panorama III,54145,Осеново,0,,,266
94842,2,Могилите,Mogilite,54145,Осеново,0,37099,Кичево,266
94856,2,Баш Самоков,Bash Samokov,27632,Етрополе,0,,,272
94869,2,Чичера,Chichera,27632,Етрополе,0,,,272
94873,2,Суха река,Suha reka,27632,Етрополе,0,,,272
94887,2,Райкьовец,Raykyovets,27632,Етрополе,0,,,272
94890,2,Котката,Kotkata,27632,Етрополе,0,,,272
94900,2,Горунака,Gorunaka,27632,Етрополе,0,,,272
94914,2,Хаджирашова чешма,Hadzhirashova cheshma,27632,Етрополе,0,,,272
94928,2,Рибарника,Ribarnika,27632,Етрополе,0,,,272
94931,2,Стубела,Stubela,62582,Рибарица,0,,,272
94945,2,Рибарица,Ribaritsa,62582,Рибарица,0,,,272
94959,2,Над язовира,Nad yazovira,05147,Бойковец,0,,,272
94962,2,Кобиля,Kobilya,05147,Бойковец,0,,,272
94976,2,Спиловица,Spilovitsa,87391,Ямна,0,,,272
94984,2,Шарковото,Sharkovoto,87391,Ямна,0,,,272
94993,2,Пашовото,Pashovoto,44389,Лъга,0,,,272
95008,2,Долни дол,Dolni dol,44389,Лъга,0,,,272
95011,2,Манастирското,Manastirskoto,62582,Рибарица,0,,,272
95025,2,Златичора,Zlatichora,87391,Ямна,0,,,272
95039,2,Язовир Батак,Yazovir Batak,02837,Батак,0,,,255
95042,2,"Курорт ""Сливенски минерални бани""","Kurort ""Slivenski mineralni bani""",30990,Злати войвода,0,,,1352
95056,2,"Курорт ""Огняновски минерални бани""","Kurort ""Ognyanovski mineralni bani""",BLG13,Гърмен,1,,,1369
95066,2,Кюмбетите,Kyumbetite,58503,Провадия,0,,,1611
95073,2,Шашкъните,Shashkanite,58503,Провадия,0,,,1611
95087,2,Фазанарията,Fazanariyata,58503,Провадия,0,,,1611
95090,2,Солницата,Solnitsata,58503,Провадия,0,,,1611
95100,2,Индустриална зона Летница,Industrialna zona Letnitsa,43476,Летница,0,,,1671
95114,2,Фотоволтаичен парк - Адата,Fotovoltaichen park - Adata,59080,Първомай,0,,,1670
95128,2,Промишлена зона - Искра,Promishlena zona - Iskra,32826,Искра,0,,,1670
95131,2,Фотоволтаичен парк - Кунин Ямач,Fotovoltaichen park - Kunin Yamach,59080,Първомай,0,,,1670
95145,2,Фотоволтаичен парк - Чилингирско,Fotovoltaichen park - Chilingirsko,59080,Първомай,0,,,1670
95159,2,Фотоволтаичен парк - Мерата,Fotovoltaichen park - Merata,36230,Караджалово,0,,,1670
95162,2,Индустриален парк Шумен,Industrialen park Shumen,83510,Шумен,0,,,1676
95176,2,Хоталич,Hotalich,65927,Севлиево,0,,,1677
95181,2,"Планински туристически комплекс ""Беклемето""","Planinski turisticheski kompleks ""Beklemeto""",02448,Балканец,0,03486,Бели Осъм,1688
95193,2,Арапя,Arapya,48619,Царево,0,,,1699
95203,2,Боруна,Boruna,48619,Царево,0,,,1695
95217,2,Диньов гьол,Dinyov gyol,48619,Царево,0,,,1696
95220,2,Нестинарка,Nestinarka,48619,Царево,0,,,1698
95234,2,Оазис,Oazis,44094,Лозенец,0,,,1697
95248,2,Тарфа,Tarfa,44094,Лозенец,0,,,1700
95251,2,Севлиевски лозя,Sevlievski lozya,65927,Севлиево,0,,,1701
95265,2,Чифлика,Chiflika,65927,Севлиево,0,,,1701
95279,2,"""Кунино Енерджи"" - АД, Сградоцентрала","""Kunino Enerdzhi"" - AD, Sgradotsentrala",40645,Кунино,0,,,1704
95282,2,"""Кунино Енерджи"" - АД, Бетонов възел","""Kunino Enerdzhi"" - AD, Betonov vazel",40645,Кунино,0,,,1704
95296,2,Индустриална зона Куклен,Industrialna zona Kuklen,40467,Куклен,0,,,1705
95306,2,Курортен комплекс Върбица,Kurorten kompleks Varbitsa,SHU10,Върбица,1,,,1810
